[TRAIN]: (200/1600): reward: -6.682614952325821, rate: 2.317384958267212, td_error: -0.45004116743803024, rho: 0.4
[TRAIN]: (201/1600): reward: -8.05163288116455, rate: 3.948367118835449, td_error: -0.5121803045272827, rho: 0.4
[TRAIN]: (202/1600): reward: -4.512354999780655, rate: 5.487645149230957, td_error: -0.46899790689349174, rho: 0.4
[TRAIN]: (203/1600): reward: -6.456127166748047, rate: 5.543872833251953, td_error: -0.4490893132984638, rho: 0.4
[TRAIN]: (204/1600): reward: 7.911985635757446, rate: 14.911985397338867, td_error: -0.4123086443170905, rho: 0.4
[TRAIN]: (205/1600): reward: -10.132653951644897, rate: 3.8673460483551025, td_error: -0.5121803045272827, rho: 0.4
[TRAIN]: (206/1600): reward: -6.92572420835495, rate: 4.074275970458984, td_error: -0.5285391822457314, rho: 0.4
[TRAIN]: (207/1600): reward: -10.907135084271431, rate: 0.09286491572856903, td_error: -0.5709622740745545, rho: 0.4
[TRAIN]: (208/1600): reward: -4.272615782916546, rate: 5.727384090423584, td_error: -0.5129399061203003, rho: 0.4
[TRAIN]: (209/1600): reward: -12.22044651210308, rate: 0.7795534729957581, td_error: -0.4871803045272827, rho: 0.4
[TRAIN]: (210/1600): reward: -0.23022890090942383, rate: 11.769771575927734, td_error: -0.604590717703104, rho: 0.4
[TRAIN]: (211/1600): reward: -14.0, rate: 0, td_error: -0.40474424362182615, rho: 0.4
[TRAIN]: (212/1600): reward: -14.0, rate: 0, td_error: -0.5371803045272827, rho: 0.4
[TRAIN]: (213/1600): reward: 1.6180014610290527, rate: 10.618001937866211, td_error: -0.3723081827163696, rho: 0.4
[TRAIN]: (214/1600): reward: -9.832550272345543, rate: 0.1674497276544571, td_error: -0.5797442436218262, rho: 0.4
[TRAIN]: (215/1600): reward: -1.3854063749313354, rate: 9.614593505859375, td_error: -0.36134313642978666, rho: 0.4
[TRAIN]: (216/1600): reward: 4.366380199790001, rate: 14.36638069152832, td_error: -0.45944329276680945, rho: 0.4
[TRAIN]: (217/1600): reward: 2.03234750777483, rate: 9.032347679138184, td_error: -0.7215095430612564, rho: 0.4
[TRAIN]: (218/1600): reward: 6.8998565673828125, rate: 15.899856567382812, td_error: -0.42074994631111623, rho: 0.4
[TRAIN]: (219/1600): reward: 1.2102522887289524, rate: 9.21025276184082, td_error: -0.3398721218109131, rho: 0.4
[TRAIN]: (220/1600): reward: 0.6109621524810791, rate: 9.6109619140625, td_error: -0.5574376333504916, rho: 0.4
[TRAIN]: (221/1600): reward: -10.680942714214325, rate: 0.31905728578567505, td_error: -0.34362182170152666, rho: 0.4
